Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache,claimed_at
https://homestars.com/on/gordon/home-office-renovation,98,"c(""https://homestars.com/on/gordon/home-office-renovation?&page=2&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=3&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=4&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=5&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=6&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=7&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=8&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=9&"", 
""https://homestars.com/on/gordon/home-office-renovation?&page=10&"")",Home Office Renovation,2809674,http://barrie.closetsbydesign.com,/companies/2809674-closets-by-design-of-central-ontario?searched_category_id=381&service_area=2114081,"Serving all of central Ontario from  The Muskokas -Peel Region- York Region - Dufferin Region -Simcoe Region - Georgetown -Milton , Closets by Design is the industry leader in custom manufactured organizational systems. We design, build and install custom closets, garage cabinets and flooring, home offices, laundries, pantries, and much more. From our no obligation in-home consultation, custom tailored designs, and the highest quality canadian product construction, our products offer the best value in the industry. Check us out at barrie.closetsbydesign.com.",closets-by-design-of-central-ontario,2013-05-10T17:30:08.000-04:00,NA,"York Region, Markham, Thornhill, Woodbridge Vaughan, Maple, Unionville, Richmond Hill, Etobicoke 
<br />Peel Region, Brampton (Including the Georgetown area)
<br />Simcoe County 
<br />Muskoka 
",M-F 9-5,Closets - Office- Garage - Laundry room-Pantry- Entertainment units -Murphy Beds -Garage flooring - book shelves - mudroom - entry way-and any ,,,,2008,40,Visa /MC/Cash/Etransfer,,,"BBB, CFIB",TRUE,TRUE,,500,TRUE,FALSE,Lifetime ,1872674,Closets By Design Of Central Ontario,342,296,1953,8.98649,"Closet & Storage Solutions, Closets, Closet, Storage, Closet Organizer, Closet And Room Organizer, Storage Cabinet, Storage Container, Interior closet shelves, custom fitted interior closets, custom closets, interior closet organizer, shelving, built-in shelving, built-in shelves, storage, the container, the closet, a closet, closet and, closet closet, closet to closet, closet, shelves, wardrobe, the closets, shelving, wardrobes, pantry, storage boxes, container store, storage containers, storage and containers, shoe rack, storage bins, storage systems, shoe racks, storage cabinets, storage cabinet, food storage, wall shelves, solutions storage, storage solutions, clothes rack, closet and organizer, the closet organizer, organizer for closet, closet organizer, closet organizers, organizers closet, wardrobe closet, Custom Shelves, ,Home Office Renovation, renovating home office, home office shelving, home office built-ins, diy network, decorating an office, decorating a office, ,Garage Design & Organization, shed design, shed organization, garage renovation, garage, car garage, storage systems, starage sheds, storage cabinets, cabinets & storage, storage cabinet, storage system, shop door, storage solutions, garage floor, shed plans, garage and storage, storage for garage, garage storage, storage in garage, garage plans, storage for the home, garage kits, cabinets garage, cabinets for the garage, garage cabinets, metal cabinets, metal cabinet, new garage, new barn, ,",0,closetsbydesign,FALSE,0,0,917,FALSE,15e4bc2aba3f6d01db53fdc4c017d8fce3ac3e27,TRUE,2021-04-05T09:43:00.000-04:00,TRUE,TRUE,2114081,91.5643685744,381,NA,NA,NA,NA
https://homestars.com/on/gordon/home-office-renovation,98,"c(""https://homestars.com/on/gordon/home-office-renovation?&page=2&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=3&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=4&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=5&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=6&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=7&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=8&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=9&"", 
""https://homestars.com/on/gordon/home-office-renovation?&page=10&"")",Home Office Renovation,2905632,https://homestars.com/companies/2905632-ahl-renovation,/companies/2905632-ahl-renovation?searched_category_id=381&service_area=2141510,"Welcome to AHL Renovation. We offer both commercial and residential services. Tiling, demolition, drywall removal, drywall installation, interior renovations, kitchen renovations, flooring installation, bathroom renovations, basement renovations, and office renovations. Call us today to book an onsite estimate. ",ahl-renovation,2017-12-01T22:36:58.000-05:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,TRUE,FALSE,,1967817,Ahl Renovation ,11,10,210,9.8,"Renovation Advisors, renovation consultant, remodelling advisor, remodeling consultant, remodeling advisor, remodelling consultant, construction consultant, construction advisor, structural, engineer, Renovation Coaching, Renovation Coaching, Coach, home building project management, renovation advisor,,Home Office Renovation, renovating home office, home office shelving, home office built-ins, diy network, decorating an office, decorating a office, ,",0,Ahl,FALSE,0,0,283,FALSE,e71b2f478436fcad5ff9f7dda79448a58b7f2149,TRUE,NA,TRUE,TRUE,2141510,86.2865959065,381,NA,NA,0,NA
https://homestars.com/on/gordon/home-office-renovation,98,"c(""https://homestars.com/on/gordon/home-office-renovation?&page=2&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=3&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=4&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=5&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=6&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=7&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=8&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=9&"", 
""https://homestars.com/on/gordon/home-office-renovation?&page=10&"")",Home Office Renovation,2884306,NA,/companies/2884306-alta-home-improvements?searched_category_id=381&service_area=2084604,"ALTA Home Improvements prides itself in providing exceptional quality labor for a fair cost.
Here at ALTA, we don't just budget effectively, but we deliver quality in a time frame that suits our treasured customers.",alta-home-improvements,2016-02-21T18:40:13.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1946730,Alta Home Improvements,19,11,2,10,"Home Office Renovation, renovating home office, home office shelving, home office built-ins, diy network, decorating an office, decorating a office, ,",0,NA,FALSE,0,0,2,FALSE,1f2626995840fb34722178eb7f72bcae5f1dfa24,TRUE,2016-11-22T14:04:49.000-05:00,TRUE,FALSE,2084604,85.7067599522,381,NA,NA,0,NA
https://homestars.com/on/gordon/home-office-renovation,98,"c(""https://homestars.com/on/gordon/home-office-renovation?&page=2&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=3&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=4&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=5&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=6&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=7&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=8&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=9&"", 
""https://homestars.com/on/gordon/home-office-renovation?&page=10&"")",Home Office Renovation,2892707,NA,/companies/2892707-star-interior-construction?searched_category_id=381&service_area=2111174,NA,star-interior-construction,2016-12-26T14:38:01.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1955131,Star Interior Construction,3,3,0,10,"Home Office Renovation, renovating home office, home office shelving, home office built-ins, diy network, decorating an office, decorating a office, ,",0,NA,FALSE,0,0,0,FALSE,18575faabd42d7d600d90a1fca1225ac52f9a321,FALSE,NA,TRUE,FALSE,2111174,75.00455231,381,NA,NA,0,NA
https://homestars.com/on/gordon/home-office-renovation,98,"c(""https://homestars.com/on/gordon/home-office-renovation?&page=2&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=3&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=4&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=5&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=6&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=7&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=8&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=9&"", 
""https://homestars.com/on/gordon/home-office-renovation?&page=10&"")",Home Office Renovation,2864637,http://www.perfecthomesinc.ca,/companies/2864637-perfect-homes-inc?searched_category_id=381&service_area=2009007,"Perfect Homes Inc. is a ""full service"" contractor. We are committed to making all of our customers happy with our high level of quality construction, attention to detail and unique craftsmanship in all projects ranging from bathroom and kitchen remodels to additions or designing you a custom home.",perfect-homes-inc,2015-01-09T15:38:32.000-05:00,NA,"Toronto (GTA) Brampton, Concord, Etobicoke, Markham, Mississauga, Newmarket, North York, Oakville, Richmond Hill, Scarborough, Thornhill, Unionville, Vaughan, Woodbridge ",,,"FULL-SERVICE INTERIOR, EXTERIOR, KITCHEN, BATH AND BASEMENT RENOVATIONS",,,NA,NA,,,,,TRUE,TRUE,,,TRUE,FALSE,,1927063,Perfect Homes Inc   No Longer In Business,14,7,0,10,"Home Office Renovation, renovating home office, home office shelving, home office built-ins, diy network, decorating an office, decorating a office, ,",1,perfecthomesinc,FALSE,0,0,0,FALSE,2e6a3c166f567a0eccf607f86ed6f5cd0489ca91,FALSE,2016-12-18T18:27:10.000-05:00,FALSE,FALSE,2009007,78.4500682438,381,NA,NA,0,NA
https://homestars.com/on/gordon/home-office-renovation,98,"c(""https://homestars.com/on/gordon/home-office-renovation?&page=2&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=3&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=4&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=5&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=6&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=7&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=8&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=9&"", 
""https://homestars.com/on/gordon/home-office-renovation?&page=10&"")",Home Office Renovation,2776598,,/companies/2776598-alex-renovations?searched_category_id=381&service_area=1828957,NA,alex-renovations,2009-10-12T08:46:49.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1839650,Alex Renovations ,3,3,0,10,"Home Office Renovation, renovating home office, home office shelving, home office built-ins, diy network, decorating an office, decorating a office, ,",0,NA,FALSE,0,0,0,FALSE,84f9ce26ac17a0a6053a2a69b1103a032585e198,FALSE,2012-03-20T14:42:29.000-04:00,FALSE,FALSE,1828957,45.0362281647,381,NA,NA,NA,2012-07-04T17:54:44.000-04:00
https://homestars.com/on/gordon/home-office-renovation,98,"c(""https://homestars.com/on/gordon/home-office-renovation?&page=2&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=3&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=4&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=5&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=6&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=7&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=8&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=9&"", 
""https://homestars.com/on/gordon/home-office-renovation?&page=10&"")",Home Office Renovation,2854265,NA,/companies/2854265-apecks-renovation?searched_category_id=381&service_area=1973997,"There is no job too big or small, we do them all - homes and commercial.  From fences to decks, basements, kitchens, bathrooms and restaurant or office renovations.  We have been in business for more than 12 years and have a reputation for high quality work at a competitive price.  Most of our previous jobs have mainly been through great referrals from wonderful people just like you!  Please call us for a free quote within and around the Toronto area.  You'll be glad you did!",apecks-renovation,2014-05-23T13:24:08.000-04:00,NA,NA,Monday - Friday 9 am up to 6 pm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1916696,A Pecks Renovation   No Longer In Business,9,6,0,9.66667,"Home Office Renovation, renovating home office, home office shelving, home office built-ins, diy network, decorating an office, decorating a office, ,",0,NA,FALSE,0,0,0,FALSE,d125d70330e4e37b2982a846634119faf9652dbd,FALSE,2016-04-05T14:40:56.000-04:00,FALSE,FALSE,1973997,70.6648477305,381,NA,NA,0,NA
https://homestars.com/on/gordon/home-office-renovation,98,"c(""https://homestars.com/on/gordon/home-office-renovation?&page=2&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=3&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=4&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=5&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=6&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=7&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=8&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=9&"", 
""https://homestars.com/on/gordon/home-office-renovation?&page=10&"")",Home Office Renovation,2892159,NA,/companies/2892159-fine-touch-renovations?searched_category_id=381&service_area=2109568,,fine-touch-renovations,2016-11-27T22:51:58.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1954583,Fine Touch Renovations,2,1,0,10,"Home Office Renovation, renovating home office, home office shelving, home office built-ins, diy network, decorating an office, decorating a office, ,",0,NA,FALSE,0,0,0,FALSE,958637663d69ed9e4b971734b1a6cdeac68251e9,FALSE,NA,TRUE,FALSE,2109568,64.0384615385,381,NA,NA,0,NA
https://homestars.com/on/gordon/home-office-renovation,98,"c(""https://homestars.com/on/gordon/home-office-renovation?&page=2&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=3&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=4&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=5&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=6&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=7&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=8&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=9&"", 
""https://homestars.com/on/gordon/home-office-renovation?&page=10&"")",Home Office Renovation,2814660,NA,/companies/2814660-adroit-renovations?searched_category_id=381&service_area=1890759,"Reliable contractor services in Toronto. Adroit Renovations is a Toronto based contractor offering bathroom, basement, kitchen and full home renovations. With over 20 years of experience and a team of trained professionals Adroit can take on small and large scale residential, commercial and government projects. Visit the company's website for information and talk to us to discuss your plans.",adroit-renovations,2013-09-15T23:11:40.000-04:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1877605,Adroit Renovations,1,1,0,10,"Home Office Renovation, renovating home office, home office shelving, home office built-ins, diy network, decorating an office, decorating a office, ,",0,NA,FALSE,0,0,0,FALSE,7e8835de7022362a9831aceb50b3c0ca40672ea1,FALSE,2013-12-06T12:00:00.000-05:00,FALSE,FALSE,1890759,69.2810506429,381,NA,NA,0,NA
https://homestars.com/on/gordon/home-office-renovation,98,"c(""https://homestars.com/on/gordon/home-office-renovation?&page=2&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=3&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=4&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=5&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=6&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=7&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=8&"", ""https://homestars.com/on/gordon/home-office-renovation?&page=9&"", 
""https://homestars.com/on/gordon/home-office-renovation?&page=10&"")",Home Office Renovation,2845536,NA,/companies/2845536-a-painters-touch-painting-renovations-inc?searched_category_id=381&service_area=1951546,"A Painters Touch Painting  & Renovations Inc is a Canadian owned and operated company that has been conducting business successfully in the painting and renovation industry. 
We are a full-service Painting and Renovation company with a wide range of experience. 



",a-painters-touch-painting-renovations-inc,2013-11-17T21:52:23.000-05:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1907972,A Painters Touch Painting & Renovations Inc,1,1,0,10,"Home Office Renovation, renovating home office, home office shelving, home office built-ins, diy network, decorating an office, decorating a office, ,",0,NA,FALSE,0,0,0,FALSE,4f67b206bf4f420389d73cedf7215b3261b4ffee,FALSE,2013-11-19T13:43:26.000-05:00,TRUE,FALSE,1951546,69.1734032899,381,NA,NA,0,NA
